name,faction,station,characteristics,limit,ss_cost,ss_cache
Lady Justice,Guild,Master,"Living, Guild Marshal",1,0,4
Sonnia,Guild,Master,"Living, Witch Hunter",1,0,3
Perdita Ortega,Guild,Master,"Living, Family",1,0,2
Francisco Ortega,Guild,Henchman,"Living, Family",1,8,5
Samael Hopkins,Guild,Henchman,"Living, Witch Hunter",1,9,4
The Judge,Guild,Henchman,"Living, Guild Marshal",1,9,4
Scales of Justice,Guild,Peon,"Living, Totem (Lady Justice)",0,3,0
Purifying Flame,Guild,Peon,"Totem (Sonnia), Spirit",0,3,0
Enslaved Nephilim,Guild,Peon,"Living, Totem (Perdita), Nephilim",0,3,0
Governor's Proxy,Guild,Peon,"Living, Totem",0,3,0
Death Marshal,Guild,Minion,"Living, Guild Marshal",0,6,0
Executioner,Guild,Enforcer,Living,2,9,0
Guild Austringer,Guild,Minion,"Living, Guardsman",2,6,0
Guild Guard,Guild,Minion,"Living, Guardsman",0,4,0
Peacekeeper,Guild,Enforcer,Construct,1,11,0
The Lone Marshal,Guild,Enforcer,"Living, Guild Marshal",1,8,0
Witchling Stalker,Guild,Minion,"Living, Witch Hunter",0,5,0
Niño Ortega,Guild,Enforcer,"Living, Family",1,7,0
Papa Loco,Guild,Enforcer,"Living, Family, Tormented",1,7,0
Santiago Ortega,Guild,Enforcer,"Living, Family",1,7,0
Seamus,Resurrectionists,Master,Living,1,0,3
McMourning,"Guild, Resurrectionists",Master,Living,1,0,4
Nicodem,Resurrectionists,Master,Living,1,0,3
Madame Sybelle,Resurrectionists,Henchman,Undead,1,8,5
Sebastian,Resurrectionists,Henchman,Living,1,7,6
Mortimer,Resurrectionists,Henchman,Living,1,9,4
Copycat Killer,Resurrectionists,Peon,"Living, Totem (Seamus)",0,3,0
Zombie Chihuahua,Resurrectionists,Peon,"Undead, Totem (McMourning), Beast",0,2,0
Vulture,Resurrectionists,Peon,"Living, Totem (Nicodem), Beast",0,3,0
Graveyard Spirit,Resurrectionists,Peon,Totem,0,3,0
Bête Noire,Resurrectionists,Enforcer,Undead,1,8,0
Canine Remains,Resurrectionists,Minion,"Undead, Beast, Hound",0,4,0
Crooked Man,Resurrectionists,Minion,"Undead, Tormented",0,5,0
Flesh Construct,Resurrectionists,Minion,"Undead, Construct",0,6,0
Mindless Zombie,Resurrectionists,Peon,Undead,0,2,0
Necropunk,Resurrectionists,Minion,"Undead, Construct",0,5,0
Nurse,Resurrectionists,Minion,"Living, Tormented",0,5,0
Punk Zombie,Resurrectionists,Minion,"Undead, Horror",0,7,0
Rotten Belle,Resurrectionists,Minion,"Undead, Belle",0,5,0
The Hanged,Resurrectionists,Minion,"Undead, Spirit, Tormented",2,9,0
Von Schill,Outcasts,Master,"Living, Freikorps",1,0,1
Tara,"Outcasts, Resurrectionists",Master,Undead,1,0,4
Viktoria of Ashes,Outcasts,Master,"Living, Sister",1,0,1
Hannah,Outcasts,Henchman,"Living, Mercenary, Freikorps",1,10,3
The Nothing Beast,Outcasts,Enforcer,,1,10,0
Viktoria of Blood,Outcasts,Henchman,"Living, Sister",1,0,3
Taelor,Outcasts,Henchman,"Living, Mercenary",1,10,3
Steam Trunk,Outcasts,Peon,"Construct, Totem (Von Schill)",0,3,0
Karina,"Outcasts, Resurrectionists",Enforcer,"Living, Totem (Tara)",1,5,0
Student of Conflict,Outcasts,Peon,"Living, Totem, Mercenary, Sister",0,4,0
Malifaux Child,Outcasts,Peon,"Living, Totem, Mercenary, Lost",0,2,0
Bishop,Outcasts,Enforcer,"Living, Mercenary",1,10,0
Convict Gunslinger,Outcasts,Enforcer,"Living, Mercenary",2,7,0
Desperate Mercenary,Outcasts,Minion,"Living, Mercenary",0,4,0
Freikorps Specialist,Outcasts,Enforcer,"Living, Mercenary, Freikorps",0,8,0
Freikorpsmann,Outcasts,Minion,"Living, Mercenary, Freikorps",0,5,0
Hans,Outcasts,Enforcer,"Living, Mercenary",1,8,0
Johan,Outcasts,Enforcer,"Living, Mercenary, M&SU",1,6,0
Killjoy,Outcasts,Enforcer,"Undead, Mercenary, Horror",1,12,0
Ronin,Outcasts,Minion,"Living, Mercenary",0,6,0
Void Wretch,Outcasts,Minion,,0,4,0
The Dreamer,Neverborn,Master,Spirit,1,0,3
Lord Chompy Bits,Neverborn,Henchman,"Nightmare, Tyrant",1,0,0
Collodi,Neverborn,Master,"Construct, Puppet",1,0,3
Daydream,Neverborn,Peon,"Totem (Dreamer), Nightmare",3,2,0
Marionette,Neverborn,Minion,"Construct, Totem (Collodi), Puppet",1,3,0
Vasilisa,Neverborn,Henchman,"Construct, Puppet",1,9,4
Widow Weaver,Neverborn,Henchman,Nightmare,1,8,5
Nekima,Neverborn,Henchman,"Living, Nephilim",1,13,0
Spawn Mother,Neverborn,Henchman,"Living, Swampfiend, Beast",1,9,4
Gupps,Neverborn,Minion,"Living, Swampfiend, Beast, Swarm",0,4,0
Alp,Neverborn,Peon,Nightmare,0,3,0
Coppelius,Neverborn,Enforcer,Nightmare,1,8,0
Insidious Madness,Neverborn,Minion,"Nightmare, Woe",3,5,0
Lelu,Neverborn,Enforcer,"Nightmare, Nephilim, Woe",1,7,0
Lilitu,Neverborn,Enforcer,"Nightmare, Nephilim, Woe",1,7,0
Black Blood Shaman,Neverborn,Minion,"Living, Nephilim",2,7,0
Stitched Together,Neverborn,Minion,"Construct, Nightmare, Puppet, Darkened",0,6,0
Wicked Doll,Neverborn,Minion,"Construct, Puppet",0,4,0
Iggy,Neverborn,Enforcer,"Living, Woe, Lost",1,5,0
