name,faction,cost,limit,name_restrictions,characteristic_restrictions1,characteristic_restrictions2,is_limited
Plant Evidence,Guild,1,3,,,,FALSE
Vengeance Bullet,Guild,1,1,,"Master, Henchman",,FALSE
The Thalarian Stone,Guild,1,1,,Leader,,FALSE
Badge of Office,Guild,2,1,,Leader,,TRUE
Lead Lined Coat,Guild,2,3,,"Henchman, Enforcer",,FALSE
Implacable,Guild,1,1,Lady Justice,,,FALSE
Justice Unleashed,Guild,1,1,Lady Justice,,,FALSE
Last Stand,Guild,1,1,Lady Justice,,,FALSE
Vendetta,Guild,2,1,Lady Justice,,,TRUE
Unrelenting Leader,Guild,2,1,The Judge,,,FALSE
Flames of the Pit,Guild,2,1,,Guild Marshal,,FALSE
Cherufe's Imprint,Guild,1,1,Sonnia,,,FALSE
Reincarnation,Guild,1,1,Sonnia,,,TRUE
The Mask,Guild,1,1,Sonnia,,,FALSE
Counterspell Aura,Guild,1,1,Sonnia,,,FALSE
Witch Hunt,Guild,2,1,Samael Hopkins,,,FALSE
Disrupt Magic,Guild,2,1,,Witch Hunter,,FALSE
Os Veo,Guild,2,1,Perdita,,,FALSE
Trick Shooting,Guild,2,1,Perdita,,,FALSE
Aura Ancestral,Guild,1,1,Perdita,,,FALSE
Wade In,Guild,1,1,Francisco Ortega,,,FALSE
Tormenta de Plomo,Guild,1,1,,Family,,FALSE
Diestro,Guild,3,1,,Family,,FALSE
Hermanos de Armas,Guild,1,1,,Family,,FALSE
Hair Trigger,Guild,1,1,,"Enforcer, Family",,FALSE
Unnerving Aura,Resurrectionists,1,3,,,,FALSE
Decaying Aura,Resurrectionists,2,1,,,,FALSE
Corpse Bloat,Resurrectionists,2,1,,"Master, Henchman",,FALSE
Asylum Stone,Resurrectionists,1,1,,Leader,,FALSE
Transfusion,Resurrectionists,1,2,,,,FALSE
Maniacal Laugh,Resurrectionists,1,1,,Leader,,FALSE
Sinister Reputation,Resurrectionists,1,1,Seamus,,,TRUE
Red Chapel Killer,Resurrectionists,1,1,Seamus,,,FALSE
Bag o' Tools,Resurrectionists,1,1,Seamus,,,TRUE
Mad Haberdasher,Resurrectionists,2,1,Seamus,,,FALSE
Not Too Banged Up,Resurrectionists,1,1,"Seamus, Madame Sybelle",,,FALSE
Bleeding Tongue,Resurrectionists,1,1,Madame Sybelle,,,FALSE
Plastic Surgery,"Guild, Resurrectionists",1,1,McMourning,,,FALSE
Evidence Tampering,"Guild, Resurrectionists",2,1,McMourning,,,FALSE
Moonlighting,Resurrectionists,1,1,McMourning,,,FALSE
On the Clock,Guild,1,1,McMourning,,,FALSE
Those Are Not Ours!,Resurrectionists,1,1,Sebastian,,,FALSE
Unknowable Pain,"Guild, Resurrectionists",1,1,"McMourning, Sebastian",,,FALSE
Undertaker,Resurrectionists,1,1,Nicodem,,,FALSE
Reaper Grin,Resurrectionists,1,1,Nicodem,,,FALSE
Shadow Embrace,Resurrectionists,1,1,Nicodem,,,FALSE
Necrotic King,Resurrectionists,2,1,Nicodem,,,FALSE
My Favorite Shovel,Resurrectionists,2,1,Mortimer,,,FALSE
Love thy Master,Resurrectionists,1,1,"Mortimer, Nicodem",,,FALSE
Scramble,Outcasts,2,3,,,,TRUE
Tally Sheet,Outcasts,1,2,,"Master, Henchman",,FALSE
The Traveler's Stone,Outcasts,1,1,,Leader,,FALSE
Survivalist,Outcasts,1,1,,Leader,,FALSE
Oath Keeper,Outcasts,1,3,,,,FALSE
Paid in Blood,Outcasts,2,1,Von Schill,,,FALSE
Hard & Relentless,Outcasts,1,1,Von Schill,,,FALSE
Engage at Will,Outcasts,1,1,Von Schill,,,FALSE
The Shirt Comes Off,Outcasts,1,1,Von Schill,,,FALSE
Ancient Tomes,Outcasts,2,1,Hannah,,,FALSE
Spoils of War,Outcasts,1,1,,"Master, Henchman",Freikorps,FALSE
Eternal Journey,"Outcasts, Resurrectionists",1,1,Tara,,,FALSE
Knowledge of Eternity,"Outcasts, Resurrectionists",2,1,Tara,,,FALSE
Obliteration Symbiote,"Outcasts, Resurrectionists",2,1,Tara,,,FALSE
Dead of Winter,"Outcasts, Resurrectionists",1,1,Tara,,,FALSE
Voiceless Words,"Outcasts, Resurrectionists",1,1,"Nothing Beast, Tara",,,FALSE
Long Forgotten Magics,"Outcasts, Resurrectionists",1,1,Karina,,,FALSE
Sisters in Spirit,Outcasts,1,1,,Sister,,FALSE
Sisters in Fury,Outcasts,2,1,"Viktoria of Blood, Viktoria of Ash",,,FALSE
Mark of Shez'uul,Outcasts,2,1,,Sister,,FALSE
Synchronized Slaying,Outcasts,2,1,,Sister,,FALSE
Howling Wolf Tattoo,Outcasts,1,1,,Sister,,FALSE
Otherworldly,Neverborn,2,1,The Dreamer,,,FALSE
Restless Dreams,Neverborn,1,1,The Dreamer,,,TRUE
Tantrum,Neverborn,2,1,The Dreamer,,,FALSE
Dreams of Pain,Neverborn,5,1,The Dreamer,,,TRUE
On Dreaming Wings,Neverborn,2,1,The Dreamer,Nightmare,,FALSE
Threads of Fate,Neverborn,1,1,Collodi,,,FALSE
Fated,Neverborn,1,1,Collodi,,,TRUE
Breathe Life,Neverborn,1,1,Collodi,,,FALSE
Bag of Props,Neverborn,1,1,Collodi,,,TRUE
A Friend to Talk to,Neverborn,2,1,Vasilisa,,,FALSE
Strum the Threads,Neverborn,1,1,"Collodi, Vasilisa",,,FALSE
The True Mother,Neverborn,2,1,Nekima,,,FALSE
Protect the Young,Neverborn,1,1,Spawn Mother,,,FALSE
Useless Duplications,"Neverborn, Guild",1,1,,Mimic,,FALSE
Retribution's Eye,Neverborn,1,1,,Enforcer,,FALSE
On Wings of Darkness,Neverborn,1,1,,Leader,,FALSE
The Mimic's Blessing,Neverborn,1,3,,Non-Master,,FALSE
Handbag,Neverborn,2,1,Widow Weaver,,,FALSE
